City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Caravelas,BR,2021-06-27 00:20:19,-17.7125,-39.2481,68.81,64,2,4.5
1,Hofn,IS,2021-06-27 00:20:20,64.2539,-15.2082,52.05,64,60,2.13
2,Pontes E Lacerda,BR,2021-06-27 00:20:20,-15.2261,-59.3353,78.37,46,36,2.13
3,Khandyga,RU,2021-06-27 00:20:20,62.6667,135.6,79.72,40,97,1.1
4,Lavrentiya,RU,2021-06-27 00:20:10,65.5833,-171.0,44.51,89,98,6.29
5,Albany,US,2021-06-27 00:15:08,42.6001,-73.9662,80.55,74,100,7.78
6,Kambove,CD,2021-06-27 00:20:21,-10.8764,26.5969,54.91,56,0,3.4
7,Barrow,US,2021-06-27 00:20:21,71.2906,-156.7887,50.02,66,1,13.8
8,Ombessa,CM,2021-06-27 00:20:21,4.603,11.2565,68.72,98,100,2.53
9,Zhuhai,CN,2021-06-27 00:20:21,22.2769,113.5678,87.71,89,40,9.22
10,Vao,NC,2021-06-27 00:20:22,-22.6667,167.4833,73.09,69,100,11.05
11,Ushuaia,AR,2021-06-27 00:19:31,-54.8,-68.3,38.86,70,0,3.44
12,Nikolskoye,RU,2021-06-27 00:19:58,59.7035,30.7861,64.29,92,16,2.64
13,Rikitea,PF,2021-06-27 00:19:36,-23.1203,-134.9692,74.71,76,5,9.51
14,Punta Arenas,CL,2021-06-27 00:19:45,-53.15,-70.9167,35.71,87,90,11.5
15,Bethel,US,2021-06-27 00:20:23,41.3712,-73.414,75.99,86,87,8.48
16,Klaksvik,FO,2021-06-27 00:20:23,62.2266,-6.589,47.32,86,1,5.99
17,Hasaki,JP,2021-06-27 00:20:23,35.7333,140.8333,78.19,80,100,7.43
18,Gander,CA,2021-06-27 00:16:30,48.9682,-54.5906,64.53,82,90,13.0
19,Georgetown,MY,2021-06-27 00:19:56,5.4112,100.3354,80.53,87,20,2.3
20,Nanortalik,GL,2021-06-27 00:20:24,60.1432,-45.2371,46.6,88,98,5.39
21,Bodinayakkanur,IN,2021-06-27 00:20:24,10.0167,77.35,74.19,76,100,5.88
22,Daru,PG,2021-06-27 00:20:25,-9.0763,143.2092,78.6,86,91,13.13
23,Jambusar,IN,2021-06-27 00:20:25,22.05,72.8,84.47,64,88,11.3
24,Te Anau,NZ,2021-06-27 00:20:25,-45.4167,167.7167,50.29,86,100,6.08
25,Dingle,PH,2021-06-27 00:20:26,10.9995,122.6711,80.28,82,100,4.16
26,Hithadhoo,MV,2021-06-27 00:20:26,-0.6,73.0833,82.29,74,100,12.39
27,Port Elizabeth,ZA,2021-06-27 00:19:59,-33.918,25.5701,55.69,76,0,6.91
28,Hobart,AU,2021-06-27 00:16:59,-42.8794,147.3294,53.46,66,40,5.01
29,Mataura,NZ,2021-06-27 00:19:48,-46.1927,168.8643,49.48,84,100,3.71
30,Mabaruma,GY,2021-06-27 00:20:26,8.2,-59.7833,73.44,98,20,3.98
31,Khatanga,RU,2021-06-27 00:19:38,71.9667,102.5,50.67,46,69,8.57
32,Xuddur,SO,2021-06-27 00:20:27,4.1213,43.8894,68.83,82,50,17.49
33,Vaini,TO,2021-06-27 00:19:39,-21.2,-175.2,75.36,73,20,13.8
34,Castro,BR,2021-06-27 00:20:07,-24.7911,-50.0119,58.66,87,0,4.12
35,Sitka,US,2021-06-27 00:20:27,57.0531,-135.33,60.69,82,75,6.91
36,Cabo San Lucas,MX,2021-06-27 00:20:02,22.8909,-109.9124,98.82,51,1,16.11
37,Talnakh,RU,2021-06-27 00:19:44,69.4865,88.3972,50.14,60,71,3.13
38,Chokurdakh,RU,2021-06-27 00:19:53,70.6333,147.9167,70.93,40,89,8.37
39,La Orilla,MX,2021-06-27 00:20:28,17.9833,-102.2333,71.76,95,100,9.37
40,Richards Bay,ZA,2021-06-27 00:18:21,-28.783,32.0377,61.32,70,11,2.57
41,Bredasdorp,ZA,2021-06-27 00:20:28,-34.5322,20.0403,51.12,66,96,10.36
42,Kamenka,RU,2021-06-27 00:20:29,51.3223,42.7678,66.51,80,49,6.67
43,Margate,GB,2021-06-27 00:20:29,51.3813,1.3862,61.7,97,93,4.0
44,East London,ZA,2021-06-27 00:20:29,-33.0153,27.9116,57.31,66,50,7.85
45,Cherskiy,RU,2021-06-27 00:20:30,68.75,161.3,75.15,32,100,8.03
46,Neepawa,CA,2021-06-27 00:20:30,50.2289,-99.4664,77.4,59,38,8.05
47,Isangel,VU,2021-06-27 00:20:30,-19.55,169.2667,78.91,69,75,5.75
48,Puerto Ayora,EC,2021-06-27 00:19:52,-0.7393,-90.3518,72.55,90,51,5.99
49,Carnarvon,AU,2021-06-27 00:17:25,-24.8667,113.6333,51.87,62,66,11.5
50,Severo-Kurilsk,RU,2021-06-27 00:20:31,50.6789,156.125,46.8,87,70,15.19
51,Torbay,CA,2021-06-27 00:20:31,47.6666,-52.7314,63.75,74,75,21.85
52,Deming,US,2021-06-27 00:20:32,32.2687,-107.7586,96.69,8,1,12.66
53,Buchanan,LR,2021-06-27 00:20:32,5.8808,-10.0467,76.96,87,99,5.06
54,Hermanus,ZA,2021-06-27 00:19:41,-34.4187,19.2345,53.91,75,76,10.89
55,Miandoab,IR,2021-06-27 00:20:32,36.9694,46.1027,78.8,9,20,11.5
56,Butaritari,KI,2021-06-27 00:19:47,3.0707,172.7902,82.09,78,100,14.16
57,Busselton,AU,2021-06-27 00:19:41,-33.65,115.3333,56.05,62,88,28.63
58,Tosya,TR,2021-06-27 00:20:33,41.0155,34.0401,61.66,86,0,3.0
59,Sarahan,IN,2021-06-27 00:20:33,31.5167,77.8,59.22,58,1,4.68
60,Whitehorse,CA,2021-06-27 00:16:18,60.7161,-135.0538,75.02,40,75,17.0
61,Wald-Michelbach,DE,2021-06-27 00:20:34,49.57,8.8317,64.04,86,98,4.54
62,Bluff,NZ,2021-06-27 00:19:35,-46.6,168.3333,49.8,88,98,10.96
63,Port Alfred,ZA,2021-06-27 00:19:32,-33.5906,26.891,55.22,78,74,10.65
64,Mount Isa,AU,2021-06-27 00:20:34,-20.7333,139.5,58.77,41,21,16.11
65,Airai,TL,2021-06-27 00:19:38,-8.9266,125.4092,64.56,73,68,4.97
66,Jamestown,US,2021-06-27 00:17:58,42.097,-79.2353,81.99,68,20,7.0
67,Saint George,US,2021-06-27 00:20:34,37.1041,-113.5841,103.42,13,1,4.0
68,Souillac,MU,2021-06-27 00:20:35,-20.5167,57.5167,71.6,88,75,8.05
69,Copiapo,CL,2021-06-27 00:20:35,-27.3667,-70.3333,49.69,62,82,0.67
70,Flin Flon,CA,2021-06-27 00:20:36,54.7682,-101.865,60.96,87,100,8.86
71,Tura,IN,2021-06-27 00:19:44,25.5198,90.2201,74.03,97,89,5.48
72,Port Lincoln,AU,2021-06-27 00:20:36,-34.7333,135.8667,57.38,82,8,10.11
73,Bathsheba,BB,2021-06-27 00:19:55,13.2167,-59.5167,80.6,65,40,19.57
74,Saint-Pierre,RE,2021-06-27 00:20:36,-21.3393,55.4781,71.24,77,90,4.61
75,Cap Malheureux,MU,2021-06-27 00:19:50,-19.9842,57.6142,71.47,85,11,1.01
76,Mecca,SA,2021-06-27 00:16:05,21.4267,39.8261,87.4,30,11,4.72
77,Cape Town,ZA,2021-06-27 00:18:36,-33.9258,18.4232,56.88,72,40,3.0
78,Sharjah,AE,2021-06-27 00:20:37,25.3573,55.4033,94.98,29,0,3.44
79,Kodiak,US,2021-06-27 00:20:37,57.79,-152.4072,56.71,72,75,13.8
80,Jishou,CN,2021-06-27 00:20:38,28.3167,109.7167,80.08,89,95,1.81
81,Saquarema,BR,2021-06-27 00:20:38,-22.92,-42.5103,71.62,83,28,15.39
82,Komsomolskiy,UZ,2021-06-27 00:20:38,40.4272,71.7189,69.22,37,1,6.91
83,Guerrero Negro,MX,2021-06-27 00:20:39,27.9769,-114.0611,70.38,71,11,20.13
84,Lulea,SE,2021-06-27 00:20:39,65.5842,22.1547,57.27,72,59,6.91
85,Tuktoyaktuk,CA,2021-06-27 00:20:02,69.4541,-133.0374,59.0,58,75,12.66
86,Norman Wells,CA,2021-06-27 00:19:42,65.282,-126.8329,86.04,28,40,6.91
87,Port Keats,AU,2021-06-27 00:20:39,-14.25,129.55,72.79,41,59,14.18
88,Akot,IN,2021-06-27 00:20:40,21.0964,77.0586,80.02,72,95,8.21
89,Shitanjing,CN,2021-06-27 00:20:40,39.2342,106.3439,79.52,15,15,4.27
90,Yala,TH,2021-06-27 00:20:41,6.3333,101.25,77.0,94,20,4.61
91,Grindavik,IS,2021-06-27 00:20:41,63.8424,-22.4338,48.15,100,90,14.97
92,Soe,ID,2021-06-27 00:20:41,-9.8607,124.284,70.88,76,91,7.4
93,Arraial Do Cabo,BR,2021-06-27 00:19:39,-22.9661,-42.0278,71.62,78,38,23.13
94,Cabra,ES,2021-06-27 00:20:42,37.4725,-4.4421,72.9,71,1,3.96
95,Iqaluit,CA,2021-06-27 00:19:31,63.7506,-68.5145,37.13,81,75,5.99
96,Avarua,CK,2021-06-27 00:20:06,-21.2078,-159.775,73.58,72,100,26.51
97,Ingham,US,2021-06-27 00:17:33,42.6,-84.3833,80.94,98,90,6.91
98,Nome,US,2021-06-27 00:19:36,64.5011,-165.4064,58.1,62,40,12.66
99,Victoria,HK,2021-06-27 00:15:57,22.2855,114.1577,87.96,89,98,1.01
100,Katsuura,JP,2021-06-27 00:19:10,35.1333,140.3,78.24,82,100,8.34
101,Rio Bravo,MX,2021-06-27 00:20:42,25.9833,-98.1,90.28,55,20,11.5
102,Kaitangata,NZ,2021-06-27 00:19:33,-46.2817,169.8464,49.46,83,100,5.35
103,Erenhot,CN,2021-06-27 00:20:43,43.6475,111.9767,77.7,36,4,1.36
104,Dikson,RU,2021-06-27 00:19:43,73.5069,80.5464,33.84,80,34,3.24
105,Mar Del Plata,AR,2021-06-27 00:19:27,-38.0023,-57.5575,51.13,72,90,10.0
106,Touros,BR,2021-06-27 00:20:43,-5.1989,-35.4608,77.9,76,15,18.45
107,Dukat,RU,2021-06-27 00:20:44,62.55,155.55,69.58,33,83,6.58
108,Pisco,PE,2021-06-27 00:20:44,-13.7,-76.2167,64.02,82,40,16.11
109,Koumac,NC,2021-06-27 00:20:44,-20.5667,164.2833,74.98,69,90,7.36
110,Talcahuano,CL,2021-06-27 00:20:45,-36.7167,-73.1167,44.28,70,20,5.75
111,Great Yarmouth,GB,2021-06-27 00:20:45,52.6083,1.7305,59.0,94,90,8.05
112,Atuona,PF,2021-06-27 00:20:11,-9.8,-139.0333,78.69,68,46,21.39
113,Meulaboh,ID,2021-06-27 00:20:46,4.1363,96.1285,74.88,91,88,6.22
