City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Arraial Do Cabo,BR,80.56,clear sky,-22.9661,-42.0278,Pousada Porto Praia
6,Borujerd,IR,75.85,clear sky,33.8973,48.7516,Zagros Hotel
7,Atuona,PF,77.27,light rain,-9.8,-139.0333,Villa Enata
10,Gat,IL,84.4,clear sky,31.61,34.7642,OlusHome
14,Puerto Ayora,EC,80.56,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
22,Xuddur,SO,78.6,overcast clouds,4.1213,43.8894,Banjanay Hotel
24,Marshall,US,88.61,scattered clouds,34.3834,-86.3333,Riverview Campground
36,Mana,GF,83.17,few clouds,5.6592,-53.7767,LE SAMANA
39,Dakor,IN,86.02,heavy intensity rain,22.75,73.15,Hotel Raj Palace
40,Bud,US,87.75,clear sky,39.447,-86.1758,Ted McQuinn Trust
42,Bethel,US,88.95,broken clouds,41.3712,-73.414,Courtyard by Marriott Danbury
43,Hambantota,LK,79.75,overcast clouds,6.1241,81.1185,Bungalow 63
46,Butaritari,KI,81.7,light rain,3.0707,172.7902,Isles Sunset Lodge
54,Haapiti,PF,76.73,overcast clouds,-17.5667,-149.8667,Linareva Moorea Beach Resort
68,Hithadhoo,MV,82.67,overcast clouds,-0.6,73.0833,Scoop Guest House
69,Puerto Escondido,MX,85.03,overcast clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
72,Jamestown,US,86.02,few clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
74,Cayenne,GF,89.64,clear sky,4.9333,-52.3333,Hôtel Le Dronmi
77,Vila Velha,BR,76.95,scattered clouds,-20.3297,-40.2925,Quality Suites Vila Velha
79,Sigmaringen,DE,76.42,overcast clouds,48.0833,9.2167,Jägerhof
88,Pangkalanbuun,ID,76.17,broken clouds,-2.6833,111.6167,Grand Kecubung Hotel
91,Praia,CV,86.54,clear sky,14.9215,-23.5087,LT Aparthotel
93,Luorong,CN,79.0,overcast clouds,24.4058,109.6086,荣立大酒店
104,Sabang,ID,82.94,scattered clouds,5.8933,95.3214,Hotel Citra
105,Angermunde,DE,79.05,broken clouds,53.015,13.9992,Flair Hotel Weiss
113,Dingle,PH,77.49,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
118,Pacific Grove,US,79.63,overcast clouds,36.6177,-121.9166,Lovers Point Inn
123,Lasa,IT,78.71,overcast clouds,46.6166,10.7002,Pension Feldgärtenhof
125,Pathein,MM,79.27,overcast clouds,16.7833,94.7333,New Pammawaddy Hotel
126,Georgetown,MY,80.53,scattered clouds,5.4112,100.3354,Cititel Penang
130,Buala,SB,78.55,overcast clouds,-8.145,159.5921,Maringe Lagoon Lodge
132,Morant Bay,JM,88.63,broken clouds,17.8815,-76.4093,Whispering Bamboo Cove Resort
133,Torrington,US,88.88,overcast clouds,41.8007,-73.1212,The Yankee Pedlar Inn
137,Valtotopion,GR,89.49,few clouds,41.0,23.6,moorland SERRES
138,Marsa Matruh,EG,82.6,clear sky,31.3525,27.2453,Beau Site
146,Boueni,YT,76.98,scattered clouds,-12.9025,45.0761,The feet in water
148,Tamandare,BR,77.58,overcast clouds,-8.7597,-35.1047,Pousada 100 Passos
150,Victoria,HK,86.38,overcast clouds,22.2855,114.1577,Mini Hotel Central
152,Caravelas,BR,75.47,broken clouds,-17.7125,-39.2481,Pousada dos Navegantes
154,Praya,CV,86.54,clear sky,14.9215,-23.5087,LT Aparthotel
158,Garissa,KE,78.42,broken clouds,-0.4536,39.6401,Sharif Plaza Hotel
159,Russell,US,87.91,scattered clouds,32.3502,-85.1999,Macs
160,Camocim,BR,87.67,broken clouds,-2.9022,-40.8411,Hotel Ilha do Amor
