City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Arraial Do Cabo,BR,-22.9661,-42.0278,80.56,54,0,17.27,clear sky
1,Torbay,CA,47.6666,-52.7314,74.17,71,90,25.32,overcast clouds
2,Hasaki,JP,35.7333,140.8333,68.4,93,100,14.32,overcast clouds
3,Almaznyy,RU,48.0448,40.045,75.34,84,76,5.91,broken clouds
4,Tasiilaq,GL,65.6145,-37.6368,51.96,70,14,5.17,few clouds
5,Busselton,AU,-33.65,115.3333,56.08,71,82,16.15,broken clouds
6,Borujerd,IR,33.8973,48.7516,75.85,13,10,4.12,clear sky
7,Atuona,PF,-9.8,-139.0333,77.27,82,19,22.28,light rain
8,Ushuaia,AR,-54.8,-68.3,47.86,53,0,9.22,clear sky
9,Port Elizabeth,ZA,-33.918,25.5701,59.29,44,0,3.44,clear sky
10,Gat,IL,31.61,34.7642,84.4,47,0,9.13,clear sky
11,Mataura,NZ,-46.1927,168.8643,38.48,94,100,12.06,overcast clouds
12,Waipawa,NZ,-41.4122,175.5153,54.23,74,8,22.44,clear sky
13,Cherskiy,RU,68.75,161.3,67.77,43,72,8.28,broken clouds
14,Puerto Ayora,EC,-0.7393,-90.3518,80.56,87,69,4.0,broken clouds
15,Trapani,IT,37.8333,12.6667,87.89,43,0,5.75,clear sky
16,Skibbereen,IE,51.55,-9.2667,69.6,72,26,6.76,scattered clouds
17,Pisco,PE,-13.7,-76.2167,66.02,77,90,6.91,overcast clouds
18,Washington,US,47.5001,-120.5015,97.0,21,0,5.12,clear sky
19,Eureka,US,40.8021,-124.1637,63.79,81,69,5.01,broken clouds
20,Sakaiminato,JP,35.55,133.2333,71.58,94,75,5.75,broken clouds
21,Pringsewu,ID,-5.3582,104.9744,73.17,97,68,1.21,broken clouds
22,Xuddur,SO,4.1213,43.8894,78.6,51,100,14.23,overcast clouds
23,Port Alfred,ZA,-33.5906,26.891,63.43,44,28,10.71,scattered clouds
24,Marshall,US,34.3834,-86.3333,88.61,66,40,4.0,scattered clouds
25,Marawi,PH,7.9986,124.2928,63.64,92,100,3.38,overcast clouds
26,Albany,US,42.6001,-73.9662,91.81,55,97,10.2,overcast clouds
27,Rikitea,PF,-23.1203,-134.9692,74.8,77,32,10.76,light rain
28,Fortuna,US,40.5982,-124.1573,63.52,82,20,8.05,few clouds
29,Vostok,RU,46.4856,135.8833,57.22,89,27,2.57,scattered clouds
30,Kruisfontein,ZA,-34.0033,24.7314,57.07,31,35,5.19,scattered clouds
31,Margate,GB,51.3813,1.3862,64.9,95,99,1.99,moderate rain
32,Taltal,CL,-25.4,-70.4833,63.03,66,42,5.48,scattered clouds
33,Hermanus,ZA,-34.4187,19.2345,58.8,70,87,18.59,overcast clouds
34,Nouadhibou,MR,20.931,-17.0347,71.58,73,6,23.02,clear sky
35,Hilo,US,19.7297,-155.09,74.8,88,90,6.91,moderate rain
36,Mana,GF,5.6592,-53.7767,83.17,70,22,7.83,few clouds
37,Kapaa,US,22.0752,-159.319,73.72,68,75,8.05,broken clouds
38,Sokoto,NG,13.0609,5.239,93.15,37,7,12.59,clear sky
39,Dakor,IN,22.75,73.15,86.02,62,100,9.95,heavy intensity rain
40,Bud,US,39.447,-86.1758,87.75,72,9,15.48,clear sky
